Year,Type,Question,Qption_A,Qption_B,Qption_C,Qption_D,Category,Marks,Answer
qp_2017_2,,"Consider a quadratic equation x<sup>2</sup> - 13x + 36 = 0 with coefficients in a base b. The solutions of
this equation in the same base b are x = 5 and x = 6. Then b = ____ .",,,,,,,
qp_2017_2,,"The minimum possible number of states of a deterministic finite automaton that accepts the regular
language L = {w<sub>1</sub>aw<sub>2</sub> | w<sub>1</sub>, w<sub>2</sub> &isin; {a, b}<sup>*</sup>. | w<sub>1</sub>| = 2, |w<sub>2</sub>| &ge; 3} is ____.",,,,,,,
qp_2017_2,,"P and Q are considering to apply for a job. The probability that P applies for the job is 1/4, the
probability that P applies for the job given that Q applies for the job is 1/2, and the probability that Q 
applies for the job given that P applies for the job is 1/3. Then the probability that P does not apply
for the job given that Q does not apply for the job is",4/5,5/6,7/8,11/12,,,
qp_2017_2,,"If w, x, y, z are Boolean variables, then which one of the following is INCORRECT?",wx + w(x+y) + x(x+y) = x + wy,"<span class=""above_bar"">w<span class=""above_bar"">x</span>(y + z)</span> + <span class=""above_bar"">w</span>x = <span class=""above_bar"">w</span> + x + <span class=""above_bar"">y</span>z","(w<span class=""above_bar"">x</span>(y + x<span class=""above_bar"">z</span>) + <span class=""above_bar"">w</span><span class=""above_bar"">x</span>)y = x<span class=""above_bar"">y</span>",(w + y)(wxy + wyz) = wxy + wyz,DigitalLogic,,
qp_2017_2,,"Given f(w, x, y, z) = &sum;<sub>m</sub>(0,1,2,3,7,8,10) + &sum;<sub>d</sub>(5,6,11,15), where d represents the don't-care
condition in Karnaugh maps. Which of the following is a minimum product-of-sums (POS) form of
f(w,x,y,z)?","f = (<span class=""above_bar"">w</span> + <span class=""above_bar"">z</span>)(<span class=""above_bar"">x</span> + z)","f = (<span class=""above_bar"">w</span> + z)(x + z)","f = (w + z)(<span class=""above_bar"">x</span> + z)","f = (w + <span class=""above_bar"">z</span>)(<span class=""above_bar"">x</span> + z)",DigitalLogic,,
qp_2017_2,,"In a two-level cache system, the access times of L1 and L2 caches are 1 and 8 clock cycles,
respectively. The miss penalty from the L2 cache to main memory is 18 clock cycles. The miss rate
of L1 cache is twice that of L2. The average memory access time (AMAT) of this cache system is 2
cycles. The miss rates of L1 and L2 respectively are:",0.111 and 0.056,0.056 and 0.111,0.0892 and 0.1784,0.1784 and 0.0892,,,
qp_2017_2,,"Consider the recurrence function
            
            2T(&radic;n) + 1, n > 2
     T(n) = 
            2, 0 < n &le; 2

Then T(n) in terms of &Theta; notation is",&Theta;(log log n),&Theta;(log n),&Theta;(&radic;n),&Theta;(n),,,
qp_2017_2,,"For any discrete random variable X, with probability mass function

P(X = j) = p<sub>j</sub> . p<sub>j</sub> &ge; 0, j &isin; {0.....N}, and &sum;<sup>N</sup> <sub>j=0</sub>p<sub>j</sub> = 1. define the polynomial function
g<sub>x</sub>(z) = &sum;<sup>N</sup><sub>j=0</sub>p<sub>j</sub>z<sup>j</sup> . For a certain discrete random variable Y , there exists a scalar &beta; &isin; [0,1] such
that g<sub>&gamma;</sub>(z) = (1 - &beta; + &beta;z)<sup>N</sup> . The expectation of Y is",N&beta;(1-&beta;),N&beta;,N(1-&beta;),Not expressible in terms of N and &beta; alone,,,
qp_2017_2,,"Consider the following expression grammar G :

    E -> E - T | T
    T -> T + F | F
    F -> (E) | id

Which of the following grammars is not left recursive. but is equivalent to G?","E -> E - T | T
    T -> T + F | F
    F -> (E) | id","E -> TE'
    E' -> -TE' | &epsilon;
    T -> T + F | F
    F -> (E) | id","E -> TX
    X -> -TX | &epsilon;
    T -> FY
    Y -> +FY | &epsilon;
    F -> (E) | id","E -> TX | (TX)
    X -> -TX | +TX | &epsilon;
    T -> id",,,
qp_2017_2,,"A system shares 9 tape drives. The current allocation and maximum requirement of tape drives for
three processes are shown below:

Process Current Allocation Maximum Requirement
P1              3                  7
P2              1                  6
P3              3                  5

Which of the following best describes current state of the system?",Safe. Deadlocked,Safe. Not Deadlocked,Not Safe. Deadlocked,"Not Safe, Not Deadlocked",,,
qp_2017_2,,"Consider a binary code that consists of only four valid codewords as given below:

    00000, 01011, 10101, 11110

Let the minimum Hamming distance of the code be p and the maximum number of erroneous bits
that can be corrected by the code be q. Then the values of p and q are",p = 3 and q = 1,p = 3 and q = 2,p = 4 and q = 1,p = 4 and q = 2,,,
qp_2017_2,,"Consider two hosts X and Y. connected by a single direct link of rate 10<sup>6</sup> bits/sec. The distance
between the two hosts is 10,000 km and the propagation speed along the link is 2 x 10<sup>8</sup> m/sec.
Host X sends a file of 50,000 bytes as one large message to host Y continuously. Let the
transmission and propagation delays be p milliseconds and q milliseconds, respectively.
Then the values of p and q are",p = 50 and q = 100,p = 50 and q = 400,p = 100 and q = 50,p = 400 and q = 50,,,
qp_2017_2,,"The pre-order traversal of a binary search tree is given by 12, 8, 6, 2, 7, 9, 10, 16, 15, 19, 17, 20.
Then the post-order traversal of this tree is:","2, 6, 7, 8, 9, 10, 12, 15, 16, 17, 19, 20","2, 7, 6, 10, 9, 8, 15, 17, 20, 19, 16, 12","7, 2, 6, 8, 9, 10, 20, 17, 19, 15, 16, 12","7, 6, 2, 10, 9, 8, 15, 16, 17, 20, 19, 12",,,
qp_2017_2,,"Consider the C program fragment below which is meant to divide x by y using repeated
subtractions. The variables x, y. q and r are all unsigned int.

while (r >= y) {
    r = r - y;
    q = q + 1;
}

Which of the following conditions on the variables x, y, q and r before the execution of the
fragment will ensure that the loop terminates in a state satisfying the condition x == (y*q +
r)?",(q == r) && (r == 0),(x > 0) && (r == x) && (y > 0),(q == 0) && (r == x) && (y > 0),(q == 0) && (y > 0),,,
qp_2017_2,,"Consider the following C function.

<code>
int fun(int n) {
    int i, j;
    for (i = 1; i <= n; i++) {
        for(j = 1; j < n; j += i) {
            printf("" %d %d"" ,i, j);
        }
    }
}
</code>

Time complexity of fun in terms of &Theta; notation is",&Theta;(n&radic;n),&Theta;(n<sup>2</sup>),&Theta;(nlog n),&Theta;(n<sup>2</sup>log n),,,
qp_2017_2,,"Let &delta; denote the transition function and <span class=""above_bar"">&delta;</span> denote the extended transition function of the &epsilon;-NFA
whose transition table is given below:

    &delta;    &epsilon;      a      b
    &rarr;q<sub>0</sub>  {q<sub>2</sub>}   {q<sub>1</sub>}   {q<sub>0</sub>}   
    q<sub>1</sub>   {q<sub>2</sub>}   {q<sub>2</sub>}   {q<sub>3</sub>}
    q<sub>2</sub>   {q<sub>0</sub>}   &empty;      &empty;
    q<sub>3</sub>   &empty;      &empty;     {q<sub>2</sub>}

Then <span class=""above_bar"">&delta;</span>(q<sub>2</sub>, aba) is",&empty;,"{q<sub>0</sub>, q<sub>1</sub>, q<sub>3</sub>}","{q<sub>0</sub>, q<sub>1</sub>, q<sub>2</sub>}","{q<sub>0</sub>, q<sub>2</sub>, q<sub>3</sub>}",,,
qp_2017_2,,"Consider the following languages.

L1 = {a<sup>p</sup> | p is a prime number}
L2 = {a<sup>n</sup>b<sup>m</sup>c<sup>2m</sup> | n &ge; 0, m &ge; 0}
L3 = {a<sup>n</sup>b<sup>n</sup>c<sup>2n</sup> | n &ge; 0}
L4 = {a<sup>n</sup>b<sup>n</sup> | n &ge; 1}

Which of the following are CORRECT?

    I. L1 is context-free but not regular.
   II. L2 is not context-free.
  III. L3 is not context-free but recursive.
   IV. L4 is deterministic context-free.","I, II and IV only",II and III only,I and IV only,III and IV only,,,
qp_2017_2,,"Let L(R) be the language represented by regular expression R. Let L(G) be the language generated
by a context free grammar G. Let L(M) be the language accepted by a Turing machine M.
Which of the following decision problems are undecidable?

    I. Given a regular expression R and a string w. is w &isin; L(R)?
   II. Given a context-free grammar G. is L(G) = &empty;?
  III. Given a context-free grammar G. is L(G) = &sum;<sup>*</sup> for some alphabet &sum; ?
   IV. Given a Turing machine M and a string w. is w &isin; L(M)?",I and IV only,II and III only,"II, III and IV only",III and IV only,,,
qp_2017_2,,"The next state table of a 2-bit saturating up-counter is given below.

Q<sub>1</sub> Q<sub>0</sub> Q<sup>+</sup><sub>1</sub> Q<sup>+</sup><sub>0</sub>
0  0  0  1
0  1  1  0
1  0  1  1
1  1  1  1

The counter is built as a synchronous sequential circuit using T flip-flops. The expressions for T<sub>1</sub>
and T<sub>0</sub> are","T<sub>1</sub> = Q<sub>1</sub>Q<sub>0</sub>, T<sub>0</sub> = <span class=""above_bar"">Q</span><sub>1</sub><span class=""above_bar"">Q</span><sub>0</sub>","T<sub>1</sub> = <span class=""above_bar"">Q</span><sub>1</sub>Q<sub>0</sub>, T<sub>0</sub> = <span class=""above_bar"">Q</span><sub>1</sub> + <span class=""above_bar"">Q</span><sub>0</sub>","T<sub>1</sub> = Q<sub>1</sub> + Q<sub>0</sub>, T<sub>0</sub> = <span class=""above_bar"">Q</span><sub>1</sub> + <span class=""above_bar"">Q</span><sub>0</sub>","T<sub>1</sub> = <span class=""above_bar"">Q</span><sub>1</sub>Q<sub>0</sub>, T<sub>0</sub> = Q<sub>1</sub> + Q<sub>0</sub>",,,
qp_2017_2,,"Consider the following snippet of a C program. Assume that swap (&x, &y) exchanges the
contents of x and y.

<code>
int main() {
    int array[] = (3, 5, 1, 4, 6, 2};
    int done = 0;
    int i;

    while (done == 0) {
        done = 1;
        for (i = 0; i <= 4; i++) {
            if (array[i] < array[i + 1]) {
                swap(&array[i], &array[i+1]);
                done = 0;
            }
       }
      for (i = 5; i >= 1; i--) {
          if (array[i] > array[i-1]) {
              swap(&array[i], &array[i-1]);
              done = 0;
      }
   }
   printf(""%d"", array[3]);
}
</code>

The output of the program is ____.",,,,,,,
qp_2017_2,,"Two transactions T<sub>1</sub> and T<sub>2</sub> are given as

  T<sub>1</sub>:r<sub>1</sub>(X)w<sub>1</sub>(X)r<sub>1</sub>(Y)w<sub>1</sub>(Y)
  T<sub>2</sub>:r<sub>2</sub>(Y)w<sub>2</sub>(Y)r<sub>2</sub>(Z)w<sub>2</sub>(Z)

where r<sub>i</sub>(V) denotes a read operation by transaction T<sub>i</sub> on a variable V and w<sub>i</sub>(V) denotes a write
operation by transaction T<sub>i</sub> on a variable V. The total number of conflict serializable schedules that
can be formed by T<sub>1</sub> and T<sub>2</sub> is ____.",,,,,,,
qp_2017_2,,"The read access times and the hit ratios for different caches in a memory hierarchy are as given
below.

Cache      Read access time   Hit ratio
           (in nanoseconds)

I-cache    2                  0.8
D-cache    2                  0.9
L2-cache   8                  0.9

The read access time of main memory is 90 nanoseconds. Assume that the caches use the referred-
word-first read policy andthe write back policy. Assume that all the caches are direct mapped
caches. Assume that the dirty bit is always 0 for all the blocks in the caches. In execution of a
program, 60% of memory reads are for instruction fetch and 40% are for memory operand fetch.
The average read access time in nanoseconds (up to 2 decimal places) is ____.",,,,,,,
qp_2017_2,,"Consider the following database table named top_ scorer.

player    country   goals
Klose     Germany   16
Ronaldo   Brazil    15
G Muller  Germany   14
Fontaine  France    13
Pele      Brazil    12
Klinsman  Germany   11
Kocis     Hungary   11
Batistuta Argentina 10
Cubillas  Peru      10
Lato      Poland    10
Linekar   England   10
T Muller  Germany   10
Rahn      Germany   10

Consider the following SQL query:

SELECT ta.player FROM top scorer AS ta
WHERE ta.goals > ALL (SELECT tbh.goals
          FROM top scorer AS tb
          WHERE tb.country = 'Spain')
AND ta.goals > ANY (SELECT tc.goals
          FROM top scorer AS tc
          WHERE tc.country = 'Germany')

The number of tuples returned by the above SQL query is ____.",,,,,Databases,,
qp_2017_2,,"If the ordinary generating function of a sequence {a<sub>n</sub>}<sup>&infin;</sup><sub>n =0</sub>  is (1 + z)/(1 - z)<sup>3</sup>, then a<sub>3</sub> - a<sub>0</sub> is equal to ____.",,,,,,,
qp_2017_2,,"If a random variable X has a Poisson distribution with mean 5, then the expectation E[(X + 2)<sup>2</sup>]
equals ____.",,,,,,,
qp_2017_2,,"In a B+ tree, if the search-key value is 8 bytes long, the block size is 512 bytes and the block
pointer size is 2 bytes. then the maximum order of the B+ tree is ____.",,,,,,,
qp_2017_2,,"A message is made up entirely of characters from the set X = {P,Q,R,S,T}. The table of
probabilities for each of the characters is shown below:

Character Probability
P         0.22
Q         0.34
R         0.17
S         0.19
T         0.08
Total     1.00

If a message of 100 characters over X is encoded using Huffman coding. then the expected length
of the encoded message in bits is ____.",,,,,,,
qp_2017_2,,"Consider the set of processes with arrival time (in milliseconds). CPU burst time (in milliseconds).
and priority (0 is the highest priority) shown below. None of the processes have I/O burst time.

Process  Arrival Time  Burst Time Priority
P1       0             11         2
P2       5             28         0
P3       12            2          3
P4       2             10         1
P5       9             16         4

The average waiting time (in milliseconds) of all the processes using preemptive priority
scheduling algorithm is ____.",,,,,,,
qp_2017_2,,"If the characteristic polynomial of a 3 x 3 matrix M over R (the set of real numbers) is
&lambda;<sup>3</sup> - 4&lambda;<sup>2</sup> + a&lambda; + 30, a &isin; R, and one eigenvalue of M is 2, then the largest among the absolute
values of the eigenvalues of M is ____.",,,,,,,
qp_2017_2,,"Consider a machine with a byte addressable main memory of 2<sup>32</sup> bytes divided into blocks of size
32 bytes. Assume that a direct mapped cache having 512 cache lines is used with this machine. The
size of the tag field in bits is ____.",,,,,,,
qp_2017_2,,"Consider the following C Program.

<code>
#include< stdio.h >
int main() {
  int m = 10;
  int n, n1:
  n = ++m;
  n--;
  --n1;
  n -= n1;
  printf(""%d"", n);
  return 0;
}
</code>

The output of the program is ____.",,,,,,,
qp_2017_2,,"Consider the following C Program.

<code>
#include< stdio.h >
#include< string.h >
int main() {
    char* c = ""GATECSIT2017"";
    char* p = c;
    printf(""d%"", (int)strlen(c + 2[p] - 6[p] - 1));
    return 0;
}
</code>

The output of the program is ____.",,,,,,,
qp_2017_2,,Choose the option with words that are not synonyms.,"aversion, dislike","luminous, radiant","plunder, loot","yielding, resistant",GeneralAptitude,,
qp_2017_2,,Saturn is ____ to be seen on a clear night with the naked eye.,enough bright,bright enough,as enough bright,bright as enough,GeneralAptitude,,
qp_2017_2,,"There are five buildings called V, W, X, Y and Z in a row (not necessarily in that order). V is to the
West of W. Z is to the East of X and the West of V. W is to the West of Y. Which is the building in
the middle?",V,W,X,Y,GeneralAptitude,,
qp_2017_2,,"A test has twenty questions worth 100 marks in total. There are two types of questions. Multiple
choice questions are worth 3 marks each and essay questions are worth 11 marks each. How many
multiple choice questions does the exam have?",12,15,18,19,GeneralAptitude,,
qp_2017_2,,"There are 3 red socks, 4 green socks and 3 blue socks. You choose 2 socks. The probability that
they are of the same colour is",1/5,7/30,1/4,4/15,GeneralAptitude,,
qp_2017_2,,"""We lived in a culture that denied any merit to literary works, considering them important only
when they were handmaidens to something seemingly more urgent - namely ideology. This was a
country where all gestures. even the most private. were interpreted in political terms.""

The author's belief that ideology is not as important as literature is revealed by the word:",'culture','seemingly','urgent','political',GeneralAptitude,,
qp_2017_2,,"There are three boxes. One contains apples. another contains oranges and the last one contains both
apples and oranges. All three are known to be incorrectly labelled. If you are permitted to open just
one box and then pull out and inspect only one fruit. which box would you open to determine the
contents of all three boxes?",The box labelled 'Apples',The box labelled 'Apples and Oranges',The box labelled 'Oranges',Cannot be determined,GeneralAptitude,,
qp_2017_2,,"X is a 30 digit number starting with the digit 4 followed by the digit 7. Then the number X<sup>3</sup> will
have",90 digits,91 digits,92 digits,93 digits,GeneralAptitude,,
qp_2017_2,,"The number of roots of e<sup>x</sup> + 0.5x<sup>2</sup> - 2 = 0 in the range [-5, 5] is",0,1,2,3,GeneralAptitude,,
qp_2017_2,,"An air pressure contour line joins locations in a region having the same atmospheric pressure. The
following is an air pressure contour plot of a geographical region. Contour lines are shown at 0.05
bar intervals in this plot.

 <img src=""img/2017_2_65.png"" width=""100px"" height=""100px"" />

If the possibility of a thunderstorm is given by how fast air/pressure rises or drops over a region,
which of the following regions is most likely to have a thunderstorm?",P,Q,R,S,GeneralAptitude,,
qp_2015_1,,Didn't you buy when you went shopping?,any paper,much paper,no paper,a few paper,GeneralAptitude,,
qp_2015_1,,"Which of the following options is the closest in meaning to the sentence below?
She enjoyed herself immensely at the party.",She had a terrible time at the party,She had a hornble time at the party,She had a terrific time at the party,She had a terrifying time at the party,GeneralAptitude,,
qp_2015_1,,Which one of the following combinations is incorrect?,Acquiescence - Submission,Wheedle - Roundabout,Flippancy - Lightness,Profligate - Extravagant,GeneralAptitude,,
qp_2015_1,,"Based on the given statements, select the most appropriate option to solve the given question.
If two floors in a certain building are 9 feet apart. how many steps are there in a set of stairs that
extends from the first floor to the second floor of the building?

Statements:

 (I) Each step is 3/4 foot high.
(II) Each step is 1 foot wide.",Statement I alone is sufficient. but statement II alone is not sufficient.,"Statement II alone is sufficient, but statement I alone is not sufficient.","Both statements together are sufficient, but neither statement alone is sufficient.",Statement I and II together are not sufficient.,GeneralAptitude,,
qp_2015_1,,"Given Set A= {2. 3.4, 5} and Set B = {11, 12, 13, 14, 15}, two numbers are randomly selected,
one from each set. What is the probability that the sum of the two numbers equals 16?",0.20,0.25,0.30,0.33,GeneralAptitude,,
qp_2015_1,,"Select the alternative meaning of the underlined part of the sentence.

The chain snatchers took to their heels when the police party arnved.",took shelter in a thick jungle,open indiscriminate fire,took to flight,unconditionally surrendered,GeneralAptitude,,
qp_2015_1,,"The given statement is followed by some courses of action. Assuming the statement to be true,
decide the correct option.

Statement:

There has been a significant drop in the water level in the lakes supplying water to the city.

Course of action:

   (I) The water supply authority should impose a partial cut in supply to tackle the situation.
  (II) The government should appeal to all the residents through mass media for minimal use of
       water.
 (III) The government should ban the water supply in lower areas.",Statements I and II follow.,Statements I and III follow.,Statements II and III follow.,All statements follow.,GeneralAptitude,,
qp_2015_1,,"The pie chart below has the breakup of the number of students from different departments in an
engineering college for the year 2012. The proportion of male to female students in each
department is 5:4. There are 40 males in Electrical Engineering. What is the difference between the
numbers of female students in the Civil department and the female students in the Mechanical
department? ____

<img src=""img/2015_1_8.png"" width=""100px"" height=""100px"" />",,,,,GeneralAptitude,,
qp_2015_1,,"The probabilities that a student passes in Mathematics, Physics and Chemistry are m, p, and c
respectively. Of these subjects, the student has 75% chance of passing in at least one, a 50% chance
of passing in at least two and a 40% chance of passing in exactly two. Following relations are
drawn in m, p, c:

   (I) p + m + c = 27/20
  (II) p + m + c = 13/20
 (III) (p) x (m) x (c) = 1/10",Only relation I is true.,Only relation II is true.,Relations II and III are true.,Relations I and III are true.,GeneralAptitude,,
qp_2015_1,,"The number of students in a class who have answered correctly, wrongly, or not attempted each
question in an exam. are listed in the table below. The marks for each question are also listed. There
is no negative or partial marking.

  Q No Marks Answered    Answered   Not
             Correctly   Wrongly    Attempted
  1    2     21          17         6
  2    3     15          27         2
  3    1     11          29         4
  4    2     23          18         3
  5    5     31          12         1

What is the average of the marks obtained by the class in the examination?",2.290,2.970,6.795,8.795,GeneralAptitude,,
qp_2015_1,,If g(x) = 1 - x and h(x) = x/(x - 1) then g((h(x))/h(g(x)) is,h(x)/g(x),-1/x,g(x)/h(x),x/(1-x)<sup>2</sup>,,,
qp_2015_1,,lim<sub>x&rarr;&infin;</sub>x<sup>1/x</sup>,&infin;,0,1,Not defined,,,
qp_2015_1,,"Match the following:
(P) Prim's algorithm for minimum spanning tree             (i) Backtracking
(Q) Floyd-Warshall algorithm for all pairs shortest paths (ii) Greedy method
(R) Mergesort                                            (iii) Dynamic programming
(S) Hamiltonian circuit                                   (iv) Divide and conquer","P-iii, Q-ii, R-iv, S-i","P-i, Q-ii, R-iv, S-iii","P-ii, Q-iii, R-iv, S-i","P-ii, Q-i, R-iii, S-iv",Algorithms,,
qp_2015_1,,"Which one of the following is the recurrence equation for the worst case time complexity of the
Quicksort algorithm for sorting n ( &ge; 2) numbers? In the recurrence equations given in the options
below, c is a constant.",T(n) = 2T(n/2) + cn,T(n) = T(n-1) + T(1) + cn,T(n) = 2T(n-1) + cn,T(n) = T(n/2) + cn,Algorithms,,
qp_2015_1,,"The height of a tree is the length of the longest root-to-leaf path in it. The maximum and minimum
number of nodes in a binary tree of height 5 are","63 and 6, respectively","64 and 5, respectively","32 and 6, respectively","31 and 5, respectively",,,
